TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63805940734407,3.6,2.1,0.0,0.0,1.5,--
63805940735416,3.4,1.9,0.0,0.0,1.5,--
63805940736408,3.5,2.1,0.0,0.0,1.5,--
63805940737423,3.4,2.0,0.0,0.0,1.5,--
63805940738471,3.4,1.9,0.0,0.0,1.5,--
63805940739475,3.4,2.0,0.0,0.0,1.5,--
63805940740496,3.6,2.1,0.0,0.0,1.5,--
63805940741486,3.4,1.9,0.0,0.0,1.5,--
63805940742497,3.5,2.0,0.0,0.0,1.5,--
63805940743490,3.1,1.7,0.0,0.0,1.5,--
63805940744496,3.3,1.9,0.0,0.0,1.5,--
63805940745492,3.0,1.6,0.0,0.0,1.5,--
63805940746500,3.5,2.0,0.0,0.0,1.5,--
63805940747493,3.3,1.8,0.0,0.0,1.5,--
63805940748488,3.5,2.1,0.0,0.0,1.5,--
63805940749501,3.6,2.1,0.0,0.0,1.5,--
63805940750526,3.6,2.1,0.0,0.0,1.5,--
63805940751568,3.4,1.9,0.0,0.0,1.5,--
63805940752573,3.5,2.0,0.0,0.0,1.5,--
63805940753593,3.4,1.9,0.0,0.0,1.5,--
63805940754587,3.4,2.0,0.0,0.0,1.5,--
63805940755590,3.7,2.3,0.0,0.0,1.5,--
63805940756591,3.8,2.3,0.0,0.0,1.5,--
63805940757583,3.6,2.1,0.0,0.0,1.5,--
63805940758596,3.7,2.3,0.0,0.0,1.5,--
63805940759613,3.6,2.1,0.0,0.0,1.5,--
63805940760615,4.1,2.6,0.0,0.0,1.5,--
63805940761650,3.7,2.2,0.0,0.0,1.5,--
63805940762644,3.4,1.9,0.0,0.0,1.5,--
63805940763655,3.4,1.9,0.0,0.0,1.5,--
63805940764644,3.4,1.9,0.0,0.0,1.5,--
63805940765661,3.2,1.7,0.0,0.0,1.5,--
63805940766675,3.5,2.0,0.0,0.0,1.5,--
63805940767678,3.3,1.9,0.0,0.0,1.5,--
63805940768688,3.3,1.8,0.0,0.0,1.5,--
63805940769693,4.3,2.9,0.0,0.0,1.5,--
63805940770688,3.8,2.4,0.0,0.0,1.5,--
63805940771697,3.5,2.0,0.0,0.0,1.5,--
63805940772698,3.4,1.9,0.0,0.0,1.5,--
63805940773705,3.2,1.8,0.0,0.0,1.5,--
63805940774767,3.3,1.8,0.0,0.0,1.5,--
63805940775782,3.4,1.9,0.0,0.0,1.5,--
63805940776792,3.4,1.9,0.0,0.0,1.5,--
63805940777791,3.2,1.7,0.0,0.0,1.5,--
63805940778806,3.3,1.9,0.0,0.0,1.5,--
63805940779804,3.4,1.9,0.0,0.0,1.5,--
63805940780816,3.4,1.9,0.0,0.0,1.5,--
63805940781837,3.3,1.8,0.0,0.0,1.5,--
63805940782834,3.4,1.9,0.0,0.0,1.5,--
63805940783852,3.2,1.8,0.0,0.0,1.5,--
63805940784879,3.4,1.9,0.0,0.0,1.5,--
63805940785876,3.4,1.9,0.0,0.0,1.5,--
63805940786880,3.4,1.9,0.0,0.0,1.5,--
63805940787878,3.4,1.9,0.0,0.0,1.5,--
63805940788889,3.4,1.9,0.0,0.0,1.5,--
63805940789887,3.3,1.8,0.0,0.0,1.5,--
63805940790877,3.4,1.9,0.0,0.0,1.5,--
63805940791882,3.3,1.8,0.0,0.0,1.5,--
63805940792877,3.3,1.8,0.0,0.0,1.5,--
63805940793884,3.3,1.9,0.0,0.0,1.5,--
63805940794878,3.3,1.8,0.0,0.0,1.5,--
63805940795885,3.2,1.8,0.0,0.0,1.5,--
63805940796882,3.5,2.0,0.0,0.0,1.5,--
63805940797883,3.2,1.7,0.0,0.0,1.5,--
63805940798880,3.2,1.7,0.0,0.0,1.5,--
63805940799889,3.9,2.5,0.0,0.0,1.5,--
63805940800879,3.5,2.0,0.0,0.0,1.5,--
63805940801898,3.3,1.8,0.0,0.0,1.5,--
63805940802906,3.4,2.0,0.0,0.0,1.5,--
63805940803897,3.3,1.9,0.0,0.0,1.5,--
63805940804894,3.2,1.7,0.0,0.0,1.5,--
63805940805907,3.3,1.8,0.0,0.0,1.5,--
63805940806917,3.2,1.7,0.0,0.0,1.5,--
63805940807913,3.3,1.8,0.0,0.0,1.5,--
63805940808920,3.3,1.8,0.0,0.0,1.5,--
63805940809919,3.2,1.8,0.0,0.0,1.5,--
63805940810909,3.4,2.0,0.0,0.0,1.5,--
63805940811934,3.2,1.7,0.0,0.0,1.5,--
63805940812926,3.2,1.8,0.0,0.0,1.5,--
63805940813934,3.2,1.8,0.0,0.0,1.5,--
63805940814924,3.5,2.0,0.0,0.0,1.5,--
63805940815927,3.3,1.8,0.0,0.0,1.5,--
63805940816924,3.2,1.8,0.0,0.0,1.5,--
63805940817926,3.3,1.8,0.0,0.0,1.5,--
63805940818932,3.2,1.8,0.0,0.0,1.5,--
63805940819930,3.4,1.9,0.0,0.0,1.5,--
63805940820929,3.5,2.0,0.0,0.0,1.5,--
63805940821959,3.2,1.7,0.0,0.0,1.5,--
63805940822965,3.3,1.9,0.0,0.0,1.5,--
63805940823970,3.1,1.7,0.0,0.0,1.5,--
63805940824994,3.4,2.0,0.0,0.0,1.5,--
63805940825989,3.2,1.7,0.0,0.0,1.5,--
63805940826991,3.3,1.8,0.0,0.0,1.5,--
63805940827991,3.4,1.9,0.0,0.0,1.5,--
63805940828989,3.6,2.1,0.0,0.0,1.5,--
63805940829995,3.4,1.9,0.0,0.0,1.5,--
63805940830988,3.3,1.9,0.0,0.0,1.5,--
63805940831999,3.5,2.0,0.0,0.0,1.5,--
63805940833001,3.4,1.9,0.0,0.0,1.5,--
63805940834010,3.4,1.9,0.0,0.0,1.5,--
63805940835019,3.6,2.1,0.0,0.0,1.5,--
63805940836029,3.5,2.1,0.0,0.0,1.5,--
63805940837032,4.0,2.5,0.0,0.0,1.5,--
63805940838048,3.8,2.4,0.0,0.0,1.5,--
63805940839064,4.1,2.6,0.0,0.0,1.5,--
63805940840079,4.2,2.7,0.0,0.0,1.5,--
63805940841090,4.3,2.8,0.0,0.0,1.5,--
63805940842095,3.5,2.1,0.0,0.0,1.5,--
63805940843128,3.9,2.5,0.0,0.0,1.5,--
63805940844145,3.5,2.1,0.0,0.0,1.5,--
63805940845155,3.5,2.0,0.0,0.0,1.5,--
63805940846158,3.3,1.9,0.0,0.0,1.5,--
63805940847171,3.3,1.8,0.0,0.0,1.5,--
63805940848169,3.3,1.8,0.0,0.0,1.5,--
63805940849178,3.4,1.9,0.0,0.0,1.5,--
63805940850213,3.5,2.1,0.0,0.0,1.5,--
63805940851220,3.6,2.1,0.0,0.0,1.5,--
63805940852230,3.5,2.0,0.0,0.0,1.5,--
63805940853241,3.3,1.8,0.0,0.0,1.5,--
63805940854252,3.5,2.0,0.0,0.0,1.5,--
63805940855269,3.3,1.8,0.0,0.0,1.5,--
63805940856269,3.3,1.8,0.0,0.0,1.5,--
63805940857283,3.2,1.8,0.0,0.0,1.5,--
63805940858297,3.3,1.8,0.0,0.0,1.5,--
63805940859293,3.3,1.8,0.0,0.0,1.5,--
