TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63801051197451.00,2.9,1.4,0,0,1.5,--
63801051198452.00,2.2,0.7,0,0,1.5,--
63801051199473.00,2.7,1.2,0,0,1.5,--
63801051200468.00,2.8,1.3,0,0,1.5,--
63801051201491.00,2,0.5,0,0,1.5,--
63801051202498.00,2.1,0.7,0,0,1.5,--
63801051203516.00,3.7,2.2,0,0,1.5,--
63801051204527.00,5.4,3.9,0,0,1.5,--
63801051205533.00,3.3,1.8,0,0,1.5,--
63801051206547.00,1.8,0.4,0,0,1.5,--
63801051207549.00,1.7,0.2,0,0,1.5,--
63801051208568.00,1.8,0.3,0,0,1.5,--
63801051209584.00,1.7,0.2,0,0,1.5,--
63801051210585.00,2.6,1.1,0,0,1.5,--
63801051211600.00,3.5,2,0,0,1.5,--
63801051212601.00,3.6,2.2,0,0,1.5,--
63801051213595.00,2.2,0.7,0,0,1.5,--
63801051214601.00,3.9,2.5,0,0,1.5,--
63801051215596.00,4.2,2.7,0,0,1.5,--
63801051216592.00,2.9,1.4,0,0,1.5,--
63801051217607.00,1.9,0.5,0,0,1.5,--
63801051218617.00,2.5,1,0,0,1.5,--
63801051219635.00,1.8,0.3,0,0,1.5,--
63801051220635.00,2.3,0.8,0,0,1.5,--
63801051221655.00,2.2,0.7,0,0,1.5,--
63801051222682.00,2.1,0.6,0,0,1.5,--
63801051223690.00,1.8,0.3,0,0,1.5,--
63801051224697.00,3.6,2.1,0,0,1.5,--
63801051225686.00,4.2,2.8,0,0,1.5,--
63801051226711.00,1.8,0.3,0,0,1.5,--
63801051227724.00,1.5,0.1,0,0,1.5,--
63801051228727.00,1.6,0.1,0,0,1.5,--
63801051229724.00,1.5,0,0,0,1.5,--
63801051230726.00,1.6,0.1,0,0,1.5,--
63801051231725.00,2.4,0.9,0,0,1.5,--
63801051232726.00,1.6,0.1,0,0,1.5,--
63801051233720.00,1.5,0,0,0,1.5,--
63801051234731.00,1.6,0.1,0,0,1.5,--
63801051235736.00,1.8,0.3,0,0,1.5,--
63801051236740.00,3.1,1.6,0,0,1.5,--
63801051237758.00,1.7,0.3,0,0,1.5,--
63801051238763.00,1.5,0,0,0,1.5,--
63801051239765.00,1.6,0.1,0,0,1.5,--
63801051240767.00,1.5,0,0,0,1.5,--
63801051241774.00,2.5,1,0,0,1.5,--
63801051242784.00,2.2,0.7,0,0,1.5,--
63801051243781.00,1.9,0.4,0,0,1.5,--
63801051244781.00,2.5,1,0,0,1.5,--
63801051245784.00,1.9,0.5,0,0,1.5,--
63801051246794.00,3,1.5,0,0,1.5,--
63801051247814.00,2.1,0.6,0,0,1.5,--
63801051248827.00,1.8,0.4,0,0,1.5,--
63801051249855.00,2,0.5,0,0,1.5,--
63801051250855.00,1.7,0.3,0,0,1.5,--
63801051251865.00,2.2,0.7,0,0,1.5,--
63801051252879.00,2.3,0.9,0,0,1.5,--
63801051253880.00,1.8,0.3,0,0,1.5,--
63801051254893.00,1.5,0.1,0,0,1.5,--
63801051255890.00,1.8,0.3,0,0,1.5,--
63801051256892.00,1.6,0.1,0,0,1.5,--
63801051257904.00,3.1,1.6,0,0,1.5,--
63801051258922.00,3.8,2.3,0,0,1.5,--
63801051259944.00,3.8,2.3,0,0,1.5,--
63801051260947.00,5.2,3.7,0,0,1.5,--
63801051261955.00,4.8,3.3,0,0,1.5,--
63801051262956.00,4.4,2.9,0,0,1.5,--
63801051263966.00,3.9,2.4,0,0,1.5,--
63801051264973.00,3.5,2,0,0,1.5,--
63801051265982.00,3.8,2.3,0,0,1.5,--
63801051266988.00,3.6,2.2,0,0,1.5,--
63801051267991.00,4.6,3.1,0,0,1.5,--
63801051269012.00,4,2.6,0,0,1.5,--
63801051270009.00,3.7,2.2,0,0,1.5,--
63801051271028.00,3.5,2.1,0,0,1.5,--
63801051272057.00,4.2,2.7,0,0,1.5,--
