,Algo Name,Time Taken,Accuracy,Total Energy (J),Base Energy (J),CPU Energy (J),Monitor Energy (J),Disk Energy (J)
0,Grey Wolf Optimizer,91,72.53086457481665,335.8000000000001,138.0,199.60000000000008,0.0,0.0
1,Bat Algorithm,92,72.26905342995356,335.4999999999999,138.0,199.20000000000002,0.0,0.0
2,Hybrid Bat Algorithm,88,71.9102725824219,304.1,132.0,175.10000000000002,0.0,0.1
3,Firefly Algorithm,92,72.33693457260222,333.30000000000007,138.0,197.1,0.0,0.0
4,Hybrid Self Adaptive Bat Algorithm,94,71.93931882838973,344.4999999999999,141.0,205.30000000000007,0.0,0.0
