,Algo Name,Time Taken,Accuracy,Total Energy (J),Base Energy (J),CPU Energy (J),Monitor Energy (J),Disk Energy (J)
0,Grey Wolf Optimizer,53,72.23028905669284,198.30000000000004,79.5,119.80000000000001,0.0,0.0
1,Bat Algorithm,55,72.00715295542496,202.10000000000005,81.0,122.6,0.0,0.0
2,Hybrid Bat Algorithm,56,72.07509521837106,208.7000000000001,84.0,125.69999999999997,0.0,0.0
3,Firefly Algorithm,57,72.1236482423448,208.39999999999998,87.0,123.1,0.0,0.0
4,Hybrid Self Adaptive Bat Algorithm,56,71.97819603912262,206.59999999999994,84.0,123.60000000000002,0.0,0.0
