,Algo Name,Time Taken,Accuracy,Total Energy (J),Base Energy (J),CPU Energy (J),Monitor Energy (J),Disk Energy (J)
0,Grey Wolf Optimizer,75,71.9393611424418,281.6,112.5,170.70000000000002,0.0,0.0
1,Bat Algorithm,73,72.0266080162561,267.6000000000001,109.5,159.50000000000003,0.0,0.0
2,Hybrid Bat Algorithm,71,72.14288703135423,256.59999999999997,106.5,152.80000000000004,0.0,0.2
3,Firefly Algorithm,76,72.4241203261191,284.90000000000003,115.5,171.1,0.0,0.0
4,Hybrid Self Adaptive Bat Algorithm,73,71.98774491020723,244.79999999999993,108.0,140.1,0.0,0.0
