,Algo Name,Time Taken,Accuracy,Total Energy (J),Base Energy (J),CPU Energy (J),Monitor Energy (J),Disk Energy (J)
0,Grey Wolf Optimizer,36,72.69577183886997,136.7,54.0,83.29999999999998,0.0,0.0
1,Bat Algorithm,37,71.7356142801463,137.0,57.0,80.69999999999999,0.0,0.0
2,Hybrid Bat Algorithm,37,71.7066620654053,139.30000000000004,55.5,84.20000000000003,0.0,0.0
3,Firefly Algorithm,40,71.4447709939994,148.00000000000003,60.0,88.7,0.0,0.0
4,Hybrid Self Adaptive Bat Algorithm,40,72.77329588383006,151.8,60.0,92.69999999999999,0.0,0.0
