,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,13.68141508102417,0.18804533252379327,0.3073690414428711,0.021041187673675864,600,{'n_estimators': 600},0.7251575375666505,0.7489093553078041,0.8153174987881726,0.7687833252544838,0.524733268671193,0.7165801971176607,0.10039742080476824,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1,22.828574323654173,0.2582440936126715,0.5078314781188965,0.029899179980301543,1000,{'n_estimators': 1000},0.7256422685409598,0.7518177411536597,0.8153174987881726,0.7726611730489579,0.5402521823472357,0.7211381727757971,0.09508483510332102,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2,18.243604803085326,0.24216410013487172,0.41185507774353025,0.02452657143928821,800,{'n_estimators': 800},0.7246728065923412,0.7484246243334949,0.8133785748909356,0.769268056228793,0.5329776915615907,0.717744350721431,0.09687992370813188,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0
3,11.464153337478638,0.10889865406290944,0.25446467399597167,0.014878936572236243,500,{'n_estimators': 500},0.7251575375666505,0.7532719340765875,0.8148327678138633,0.7736306349975763,0.565470417070805,0.7264726583050966,0.08564232145969401,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
4,6.834133529663086,0.06748192667496092,0.15197887420654296,0.00991524812122718,300,{'n_estimators': 300},0.724188075618032,0.752302472127969,0.812409112942317,0.7702375181774115,0.533462657613967,0.7185199672959393,0.09686017725648746,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0
5,2.2818206787109374,0.0241350510993154,0.05303101539611817,0.001704869477250605,100,{'n_estimators': 100},0.7290353853611246,0.7532719340765875,0.8158022297624818,0.7712069801260301,0.550921435499515,0.7240475929651478,0.09109832902572791,3,1.0,1.0,0.9998788025693855,0.9998788025693855,1.0,0.9999515210277542,5.93743726283544e-05
6,4.5612390518188475,0.05447478321446725,0.10554018020629882,0.008424846821925024,200,{'n_estimators': 200},0.7232186136694134,0.7469704314105672,0.812409112942317,0.7784779447406689,0.5674102812803103,0.7256972768086554,0.08463829542717109,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
7,15.943750429153443,0.21606908755765192,0.35198798179626467,0.020616335288234155,700,{'n_estimators': 700},0.7256422685409598,0.7513330101793505,0.8090159961221522,0.7731459040232671,0.5533462657613967,0.7224966889254254,0.08888670008384408,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0
8,20.482166814804078,0.23324568832556872,0.4523283004760742,0.029008556298151425,900,{'n_estimators': 900},0.7251575375666505,0.754241396025206,0.814348036839554,0.7712069801260301,0.5368574199806013,0.7203622741076083,0.09619077779925529,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0
9,9.07078151702881,0.13020870503781198,0.20843062400817872,0.011864438533361717,400,{'n_estimators': 400},0.722249151720795,0.7474551623848764,0.8167716917111003,0.7712069801260301,0.5310378273520854,0.7177441626589773,0.09841444856988582,9,1.0,1.0,1.0,1.0,1.0,1.0,0.0
