,Algo Name,Time Taken,Accuracy,Total Energy (J),Base Energy (J),CPU Energy (J),Monitor Energy (J),Disk Energy (J)
0,Grey Wolf Optimizer,25,71.72586324192402,93.7,37.5,56.69999999999999,0.0,0.0
1,Bat Algorithm,28,72.2107775771256,102.3,42.0,61.39999999999999,0.0,0.0
2,Hybrid Bat Algorithm,28,71.95875978453684,106.5,43.5,63.39999999999999,0.0,0.0
3,Firefly Algorithm,29,72.04603486771923,106.60000000000002,43.5,63.59999999999999,0.0,0.0
4,Hybrid Self Adaptive Bat Algorithm,29,71.7453324074392,109.89999999999998,45.0,65.49999999999999,0.0,0.0
