,Algo Name,Time Taken,Accuracy,Total Energy (J),Base Energy (J),CPU Energy (J),Monitor Energy (J),Disk Energy (J)
0,Grey Wolf Optimizer,16,72.06528776141269,68.8,24.0,45.199999999999996,0.0,0.0
1,Bat Algorithm,18,72.39538438319981,67.0,27.0,40.49999999999999,0.0,0.0
2,Hybrid Bat Algorithm,19,72.12347428457517,76.60000000000001,30.0,47.099999999999994,0.0,0.0
3,Firefly Algorithm,19,71.43502935889981,68.9,28.5,40.599999999999994,0.0,0.0
4,Hybrid Self Adaptive Bat Algorithm,18,71.93929061902168,66.39999999999999,27.0,39.99999999999999,0.0,0.0
