,Algo Name,Time Taken,Accuracy,Total Energy (J),Base Energy (J),CPU Energy (J),Monitor Energy (J),Disk Energy (J)
0,Grey Wolf Optimizer,45,72.43385725965737,169.80000000000004,67.5,102.69999999999999,0.0,0.0
1,Bat Algorithm,46,71.64830628603454,171.69999999999996,69.0,103.69999999999999,0.0,0.0
2,Hybrid Bat Algorithm,48,72.23015271141394,177.29999999999995,72.0,105.10000000000002,0.0,0.5
3,Firefly Algorithm,48,72.20128982633842,192.10000000000008,72.0,120.80000000000001,0.0,0.0
4,Hybrid Self Adaptive Bat Algorithm,46,71.9780785000891,165.70000000000002,69.0,97.69999999999997,0.0,0.0
