,Algo Name,Time Taken,Accuracy,Total CO2 Emission (mg),Base CO2 Emission (mg),CPU CO2 Emission (mg),Monitor CO2 Emission (mg),Disk CO2 Emission (mg)
0,Grey Wolf Optimizer,36,72.69577183886997,32.27638888888889,12.75,19.66805555555555,0.0,0.0
1,Bat Algorithm,37,71.7356142801463,32.34722222222222,13.458333333333332,19.054166666666664,0.0,0.0
2,Hybrid Bat Algorithm,37,71.7066620654053,32.89027777777778,13.104166666666666,19.880555555555564,0.0,0.0
3,Firefly Algorithm,40,71.4447709939994,34.94444444444445,14.166666666666666,20.943055555555556,0.0,0.0
4,Hybrid Self Adaptive Bat Algorithm,40,72.77329588383006,35.84166666666667,14.166666666666666,21.887499999999996,0.0,0.0
