,Algo Name,Time Taken,Accuracy,Total CO2 Emission (mg),Base CO2 Emission (mg),CPU CO2 Emission (mg),Monitor CO2 Emission (mg),Disk CO2 Emission (mg)
0,Grey Wolf Optimizer,25,71.72586324192402,22.12361111111111,8.854166666666666,13.387499999999998,0.0,0.0
1,Bat Algorithm,28,72.2107775771256,24.154166666666665,9.916666666666666,14.49722222222222,0.0,0.0
2,Hybrid Bat Algorithm,28,71.95875978453684,25.145833333333332,10.270833333333334,14.969444444444441,0.0,0.0
3,Firefly Algorithm,29,72.04603486771923,25.169444444444448,10.270833333333334,15.016666666666664,0.0,0.0
4,Hybrid Self Adaptive Bat Algorithm,29,71.7453324074392,25.948611111111106,10.625,15.465277777777773,0.0,0.0
