,Algo Name,Time Taken,Accuracy,Total CO2 Emission (mg),Base CO2 Emission (mg),CPU CO2 Emission (mg),Monitor CO2 Emission (mg),Disk CO2 Emission (mg)
0,Grey Wolf Optimizer,16,72.06528776141269,16.244444444444444,5.666666666666666,10.67222222222222,0.0,0.0
1,Bat Algorithm,18,72.39538438319981,15.819444444444445,6.375,9.562499999999998,0.0,0.0
2,Hybrid Bat Algorithm,19,72.12347428457517,18.086111111111112,7.083333333333333,11.120833333333332,0.0,0.0
3,Firefly Algorithm,19,71.43502935889981,16.268055555555556,6.729166666666666,9.58611111111111,0.0,0.0
4,Hybrid Self Adaptive Bat Algorithm,18,71.93929061902168,15.677777777777775,6.375,9.444444444444443,0.0,0.0
