,Algo Name,Time Taken,Accuracy,Total CO2 Emission (mg),Base CO2 Emission (mg),CPU CO2 Emission (mg),Monitor CO2 Emission (mg),Disk CO2 Emission (mg)
0,Grey Wolf Optimizer,81,71.9683368649895,68.7083333333333,28.6875,40.5875,0.0,0.0
1,Bat Algorithm,84,72.19144005532797,72.8638888888889,29.75,43.538888888888884,0.0,0.0
2,Hybrid Bat Algorithm,79,72.25938231827408,63.18333333333332,27.625,36.50277777777777,0.0,0.0
3,Firefly Algorithm,85,71.44468166433391,73.05277777777778,30.104166666666664,43.49166666666666,0.0,0.0
4,Hybrid Self Adaptive Bat Algorithm,80,71.76474045265692,66.79583333333332,28.333333333333332,39.21805555555556,0.0,0.0
