,Algo Name,Time Taken,Accuracy,Total CO2 Emission (mg),Base CO2 Emission (mg),CPU CO2 Emission (mg),Monitor CO2 Emission (mg),Disk CO2 Emission (mg)
0,Grey Wolf Optimizer,91,72.53086457481665,79.28611111111114,32.583333333333336,47.127777777777794,0.0,0.0
1,Bat Algorithm,92,72.26905342995356,79.21527777777774,32.583333333333336,47.03333333333334,0.0,0.0
2,Hybrid Bat Algorithm,88,71.9102725824219,71.8013888888889,31.166666666666664,41.34305555555556,0.0,0.02361111111111111
3,Firefly Algorithm,92,72.33693457260222,78.69583333333335,32.583333333333336,46.537499999999994,0.0,0.0
4,Hybrid Self Adaptive Bat Algorithm,94,71.93931882838973,81.34027777777774,33.291666666666664,48.473611111111126,0.0,0.0
