,ID,Time Taken(s),Total Power(J),CPU(J),Monitor(J),Disk(J),Base(J)
85,SEL-0085,20,67.29999999999998,38.800000000000004,0.0,0.0,30.0
86,SEL-0086,34,112.39999999999999,63.2,0.0,0.0,51.0
87,SEL-0087,169,551.1999999999998,305.09999999999985,0.0,0.0,253.5
88,SEL-0088,113,369.0999999999999,204.89999999999995,0.0,0.1,169.5
89,SEL-0089,136,450.79999999999995,252.3999999999998,0.0,0.0,204.0
90,SEL-0090,265,878.4000000000001,493.2000000000001,0.0,0.1,397.5
91,SEL-0091,70,230.89999999999992,129.39999999999998,0.0,0.0,105.0
92,SEL-0092,24,79.8,44.900000000000006,0.0,0.0,36.0
93,SEL-0093,168,549.3000000000002,305.69999999999976,0.0,0.0,252.0
94,SEL-0094,203,708.6000000000008,408.19999999999993,0.0,0.1,304.5
95,SEL-0095,352,1218.0000000000005,697.9000000000011,0.0,0.2,528.0
96,SEL-0096,141,473.49999999999983,266.99999999999994,0.0,0.0,211.5
97,SEL-0097,70,230.8,128.59999999999997,0.0,0.0,105.0
98,SEL-0098,65,212.79999999999998,117.99999999999997,0.0,0.0,97.5
99,SEL-0099,90,291.99999999999994,160.99999999999997,0.0,0.0,135.0
