,ID,population_size,pa,n_estimator,criterion,max_feature
0,CUC-0000,0.8797432788468682,0.7520867954898443,73.15155886165185,0.4953294691693303,38.799033929328466
1,CUC-0001,0.45866444162039344,0.6830665680753104,871.6329165965715,0.25965295529286125,45.98702781302485
2,CUC-0002,0.024870266077049563,0.7299605443156703,72.97506713579705,0.3536874177475291,39.39921945798811
3,CUC-0003,0.8411921576199072,0.7473986882438519,286.1525878188398,0.313573313447042,67.37822652207751
4,CUC-0004,0.9794921323073655,0.21176906352070213,668.4534962580811,0.12694157651078805,78.04398404896914
5,CUC-0005,0.1612364873774943,0.6724427046697863,183.39134119084764,0.4053100917601321,59.460896544000015
6,CUC-0006,0.843696882940788,0.12871911869706898,631.4587836007678,0.7689723972750362,32.57600645770365
7,CUC-0007,0.7766732569732143,0.10825886285720876,73.05156694618545,0.7437505289214167,38.45799121118331
8,CUC-0008,0.846871412491004,0.2448704135907186,72.66896325502766,0.588344482581595,37.39498375657615
9,CUC-0009,0.2592166457147931,0.32881290906704064,632.2079106834271,0.10719861022730479,31.82778031669121
10,CUC-0010,0.1225405335017119,0.2613568870563766,667.3638346287478,0.8059665417819211,77.9141223491485
11,CUC-0011,0.8614308699924426,0.4987671575122027,196.4061768724244,0.24417101054449433,51.30609298771795
12,CUC-0012,0.81595369385766,0.38445646213329654,610.5602667173449,0.3908517219941403,98.3145347094619
13,CUC-0013,0.261269117924084,0.3769304615309512,834.880545619923,0.7033589993373778,31.756276460213225
14,CUC-0014,0.24052759959695347,0.18102747678770847,628.3815297754915,0.8083691807251765,63.5332700157166
15,CUC-0015,0.5829365449569647,0.8683456630696846,761.295476813644,0.9157731409121949,61.950349870208605
16,CUC-0016,0.13467275400467138,0.3546800063216601,768.5774217545251,0.1665939695561264,57.50665991431317
17,CUC-0017,0.05502033814638241,0.9748524726079524,688.5460723200183,0.2642561544111848,94.11321430441812
18,CUC-0018,0.4080769319311136,0.27904027779064544,74.26459780065129,0.8309765951955419,38.994146118703725
19,CUC-0019,0.39089697959930014,0.6914954194720735,808.2736277489151,0.2583728260993092,61.74944841441084
20,CUC-0020,0.641169855861908,0.00900801551878927,72.91955773330011,0.8800812780719328,39.387144786416144
