,ID,Time Taken(s),Total Power(J),CPU(J),Monitor(J),Disk(J),Base(J)
84,FIR-0084,63,211.99999999999994,118.29999999999997,0.0,0.0,94.5
85,FIR-0085,22,101.50000000000001,68.80000000000001,0.0,0.1,33.0
86,FIR-0086,129,436.4000000000001,244.49999999999983,0.0,0.1,193.5
87,FIR-0087,46,155.69999999999993,87.5,0.0,0.0,69.0
88,FIR-0088,44,149.39999999999995,84.39999999999999,0.0,0.0,66.0
89,FIR-0089,47,157.29999999999995,87.89999999999999,0.0,0.0,70.5
90,FIR-0090,87,289.9,161.59999999999994,0.0,0.0,130.5
91,FIR-0091,60,200.19999999999993,110.89999999999998,0.0,0.0,90.0
92,FIR-0092,90,292.3999999999999,160.80000000000004,0.0,0.0,135.0
93,FIR-0093,26,83.1,45.199999999999996,0.0,0.0,39.0
94,FIR-0094,10,33.0,18.5,0.0,0.0,15.0
95,FIR-0095,57,182.50000000000006,99.40000000000002,0.0,0.4,85.5
96,FIR-0096,351,1116.4999999999989,606.9999999999998,0.0,0.0,526.5
97,FIR-0097,43,138.09999999999997,75.6,0.0,0.0,64.5
98,FIR-0098,7,21.7,11.5,0.0,0.0,10.5
99,FIR-0099,102,327.2,179.5,0.0,0.0,153.0
