TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63805888596428,1.8,0.3,0.0,0.0,1.5,--
63805888597441,3.1,1.6,0.0,0.0,1.5,--
63805888598443,2.0,0.5,0.0,0.0,1.5,--
63805888599447,1.7,0.2,0.0,0.0,1.5,--
63805888600445,1.7,0.3,0.0,0.0,1.5,--
63805888601447,1.8,0.4,0.0,0.0,1.5,--
63805888602449,2.4,1.0,0.0,0.0,1.5,--
63805888603447,1.8,0.3,0.0,0.0,1.5,--
63805888604444,1.8,0.3,0.0,0.0,1.5,--
63805888605446,2.5,1.0,0.0,0.0,1.5,--
63805888606446,3.3,1.8,0.0,0.0,1.5,--
63805888607446,4.5,3.1,0.0,0.0,1.5,--
63805888608464,2.8,1.3,0.0,0.0,1.5,--
63805888609480,2.2,0.8,0.0,0.0,1.5,--
63805888610475,2.4,1.0,0.0,0.0,1.5,--
63805888611479,5.7,4.3,0.0,0.0,1.5,--
63805888612492,3.2,1.7,0.0,0.0,1.5,--
63805888613491,2.7,1.2,0.0,0.0,1.5,--
63805888614494,2.0,0.5,0.0,0.0,1.5,--
63805888615510,3.6,2.1,0.0,0.0,1.5,--
63805888616524,3.7,2.3,0.0,0.0,1.5,--
63805888617537,3.9,2.5,0.0,0.0,1.5,--
63805888618557,3.2,1.7,0.0,0.0,1.5,--
63805888619576,2.7,1.2,0.0,0.0,1.5,--
63805888620583,4.0,2.6,0.0,0.0,1.5,--
63805888621610,2.8,1.3,0.0,0.0,1.5,--
63805888622629,2.9,1.4,0.0,0.0,1.5,--
63805888623646,5.2,3.7,0.0,0.0,1.5,--
63805888624644,4.5,3.0,0.0,0.0,1.5,--
63805888625657,3.4,1.9,0.0,0.0,1.5,--
63805888626686,2.1,0.6,0.0,0.0,1.5,--
63805888627688,3.4,1.9,0.0,0.0,1.5,--
63805888628704,3.5,2.0,0.0,0.0,1.5,--
63805888629722,2.0,0.5,0.0,0.0,1.5,--
63805888630735,2.3,0.8,0.0,0.0,1.5,--
63805888631748,2.2,0.7,0.0,0.0,1.5,--
63805888632743,2.9,1.5,0.0,0.0,1.5,--
63805888633747,2.5,1.0,0.0,0.0,1.5,--
63805888634751,1.9,0.5,0.0,0.0,1.5,--
63805888635780,2.1,0.6,0.0,0.0,1.5,--
63805888636777,2.1,0.6,0.0,0.0,1.5,--
63805888637774,2.8,1.3,0.0,0.0,1.5,--
63805888638773,2.5,1.0,0.0,0.0,1.5,--
63805888639786,2.2,0.7,0.0,0.0,1.5,--
63805888640783,2.6,1.2,0.0,0.0,1.5,--
63805888641786,2.7,1.2,0.0,0.0,1.5,--
63805888642792,2.9,1.4,0.0,0.0,1.5,--
